実際に違う場所にいるような感覚になるゲームが好き,A,N
詳細な世界観があるゲームが好き,A,N
風景や他のゲームの画像を見ると、しばしば深い敬意を抱く,A,N
ゲーム内で自分のキャラクター(アバター)の見た目をカスタマイズするのが好き,A,N
ゲームの世界を探索するのに時間を費やすのが好き,A,N
複雑な物語を楽しめるゲームが好き,N,N
ストーリーに引き込まれるゲームが好き,N,N
普段、ストーリーの一部やカットシーンをスキップしてゲームをプレイする,N,R
ストーリー性が実際にゲームをする上で邪魔になることが多い,N,R
ゲームをするときストーリーは重要視していない,N,R
ゲームのオプション部分(トロフィーなど)をすべて完了しなくても気にしない,G,R
ゲーム内のすべてのタスクを完了しないとストレスを感じる,G,N
ゲーム内のすべてのタスクと目標を完了するのが好き,G,N
ゲームを100％クリアするのが好き,G,N
クエストを終わらせるのが好き,G,N
ゲームで他の人と交流するのが好き,S,N
1人でゲームをすることが好き,S,R
他人と遊ぶのが好きではない,S,R
他人とオンラインで遊ぶのが好き,S,N
ギルドやチームでプレイできるゲームが好き,S,N
ゲームで高難易度の要素に挑戦するのが好き,C,N
普段、最高難易度でゲームをプレイする,C,N
ゲームに挑戦するのが好き,C,N
ゲームの進行にプレイヤースキルが要求されるのが好き,C,N
ゲームの中で目標が達成しにくいモノが好き,C,N
