against,~に反対して,1
anyway,とにかく,1
cousin,いとこ,1
dozen,ダースの、12個,1
toward,~に向かって,1
absent,不在で、欠勤して,2
awful,ひどい、恐ろしい,2
closely,入念に,2
costant,定期的な,2
excuse,~を許す、~の言い訳をする,2
foundation,基礎、基盤,2
mad,気の狂った、ばかげた,2
multiple,多数の、多様な,2
readily,すぐに、早速,2
theft,窃盗、盗み、盗塁,2
anticipate,~を予想する,3
apparent,明らかな、明白な,3
assume,~を仮定する,3
considerable,かなりの、考慮すべき,3
consistent,矛盾のない、一貫した,3
crucial,きわめて重大な,3
deserve,~に値する,3
disorder,無秩序、混乱,3
eliminate,~を除く、~を除去する,3
implication,意味合い、暗示、推測,3
perceive,~に気づく、~見抜く,3
pursue,~を追跡する、~を追いかける,3
retain,記憶する,3
seize,~をつかむ、~を握る,3
strain,緊張、負担,3
conservation,保存、維持,4
genuine,本物の、心からの,4
incorporate,~を合体する、~を組み込む,4
integrate,統合する、~をまとめる,4
liberal,豊富な、寛大な,4
privilege,特権、恩恵、名誉,4
relevant,関連のある,4
reluctant,いやいやながらの、しぶしぶ,4
subsequent,その後の,4
valid,有効な、正当な,4
criterion,基準,5
deduct,~を差し引く、~を控除する,5
eloquent,雄弁な、能弁な,5
lucrative,儲かる、利益の上がる,5
retract,~を撤回する,5
prevalent,広く行きわたった、普及した,5
fluent,流ちょうな、堪能な,5
enact,~を制定する、~を法律にする,5
stipulate,~を規定する、~を明記する,5
punctual,時間を守る、定時の,5
